cd,nm,corp_name,stock_code,industry,main_product,listed_date,settle_month,hpage,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,증권구분,주식종류,액면가,상장주식수,yh_code,stock_code_ori
A002170,삼양통상,삼양통상,002170,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",1989-11-10,12월,http://www.samyangts.com,KR7002170009,002170,삼양통상보통주,삼양통상,SamyangTongsang,1989-11-10,주권,보통주,5000,3000000,002170.KS,002170
A272550,삼양패키징,삼양패키징,272550,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,2017-11-29,12월,http://www.samyangpackaging.co.kr/,KR7272550005,272550,삼양패키징보통주,삼양패키징,SAMYANG PACKAGING,2017-11-29,주권,보통주,5000,14209804,272550.KS,272550
A000070,삼양홀딩스,삼양홀딩스,000070,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,http://www.samyang.com,KR7000070003,000070,삼양홀딩스보통주,삼양홀딩스,SAMYANGHOLDINGS,1968-12-27,주권,보통주,5000,8564271,000070.KS,000070
A000070,삼양홀딩스,삼양홀딩스,000075,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,http://www.samyang.com,KR7000071001,000075,삼양홀딩스1우선주,삼양홀딩스우,SAMYANGHOLDINGS(1P),1992-02-21,주권,구형우선주,5000,304058,000075.KS,000070
A002810,삼영무역,삼영무역,002810,기타 전문 도매업,"화공약품, 안경렌즈",1988-03-28,12월,http://www.samyung.co.kr,KR7002810000,002810,삼영무역보통주,삼영무역,SamyungTrading,1988-03-28,주권,보통주,500,18466948,002810.KS,002810
A361670,삼영에스앤씨,삼영에스앤씨,361670,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",2021-05-21,12월,http://samyoungsnc.com,KR7361670003,361670,삼영에스앤씨,삼영에스앤씨,"SAMYOUNG S&C CO., LTD.",2021-05-21,주권,보통주,500,5667658,361670.KQ,361670
A054540,삼영엠텍,삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품",2001-11-15,12월,http://www.symtek.co.kr,KR7054540000,054540,삼영엠텍,삼영엠텍,SAMYOUNG M-TEK CO. LTD.,2001-11-15,주권,보통주,500,13000000,054540.KQ,054540
A065570,삼영이엔씨,삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,12월,http://www.samyungenc.com,KR7065570004,065570,삼영이엔씨,삼영이엔씨,"Samyung ENC Co., Ltd.",2003-01-21,주권,보통주,500,10794010,065570.KQ,065570
A023000,삼원강재,삼원강재,023000,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22,12월,http://www.samwon-steel.co.kr,KR7023000003,023000,삼원강재 보통주,삼원강재,"SAMWONSTEEL Co., Ltd.",2011-07-22,주권,보통주,500,40000000,023000.KS,023000
A004380,삼익THK,삼익THK,004380,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",1989-09-26,12월,http://www.samickthk.co.kr,KR7004380002,004380,삼익THK보통주,삼익THK,SAMICK THK,1989-09-26,주권,보통주,500,21000000,004380.KS,004380
A002450,삼익악기,삼익악기,002450,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1988-09-30,12월,http://www.samick.co.kr,KR7002450005,002450,삼익악기보통주,삼익악기,SamickMusicalInstruments,1988-09-30,주권,보통주,500,90530915,002450.KS,002450
A032280,삼일,삼일,032280,도로 화물 운송업,운송 및 하역수입,1997-03-15,12월,http://www.samil31.co.kr,KR7032280000,032280,삼일,삼일,SamIl,1997-03-15,주권,보통주,1000,16213590,032280.KQ,032280
A002290,삼일기업공사,삼일기업공사,002290,건물 건설업,도급공사,1992-11-30,12월,http://www.samilenter.com,KR7002290005,002290,삼일기업공사,삼일기업공사,"SAMIL ENTERPRISE CO., LTD.",1992-11-30,주권,보통주,500,12400000,002290.KQ,002290
A004440,삼일씨엔에스,삼일씨엔에스,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,http://www.daelimcns.co.kr,KR7004440004,004440,삼일씨엔에스보통주,삼일씨엔에스,SAMIL C&S,2016-03-30,주권,보통주,1000,12731947,004440.KS,004440
A000520,삼일제약,삼일제약,000520,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,http://www.samil-pharm.com,KR7000520007,000520,삼일제약보통주,삼일제약,SamilPharmaceutical,1985-05-29,주권,보통주,500,13537283,000520.KS,000520
A009770,삼정펄프,삼정펄프,009770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",2006-10-17,12월,http://www.sjpulp.com,KR7009770009,009770,삼정펄프 보통주,삼정펄프,"SAM JUNG PULP CO,.LTD.",2006-10-17,주권,보통주,5000,2499971,009770.KS,009770
A037460,삼지전자,삼지전자,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",1999-12-16,12월,http://www.samjielec.co.kr,KR7037460003,037460,삼지전자,삼지전자,"SAMJI ELECTRONICS CO., LTD.",1999-12-16,주권,보통주,500,16318522,037460.KQ,037460
A032750,삼진,삼진,032750,통신 및 방송 장비 제조업,리모컨,1997-07-14,12월,http://www.samjin.com,KR7032750002,032750,삼진,삼진,Samjin,1997-07-14,주권,보통주,500,6000000,032750.KQ,032750
A054090,삼진엘앤디,삼진엘앤디,054090,그외 기타 제품 제조업,"몰드프레임, TFT-LCD BLU",2004-02-06,12월,http://samjin.co.kr,KR7054090006,054090,삼진엘앤디,삼진엘앤디,SAMJIN LND COMPANY LIMITED,2004-02-06,주권,보통주,500,24959232,054090.KQ,054090
A005500,삼진제약,삼진제약,005500,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",1988-06-18,12월,http://www.samjinpharm.co.kr,KR7005500004,005500,삼진제약보통주,삼진제약,SamjinPharmaceutical,1988-06-18,주권,보통주,1000,13900000,005500.KS,005500
A000250,삼천당제약,삼천당제약,000250,의약품 제조업,"하메론, 아토로우",2000-10-04,12월,http://www.scd.co.kr,KR7000250001,000250,삼천당제약,삼천당제약,SAM CHUN DANG PHARM CO. LTD,2000-10-04,주권,보통주,500,22768041,000250.KQ,000250
A004690,삼천리,삼천리,004690,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,1976-12-23,12월,http://www.samchully.co.kr,KR7004690004,004690,삼천리보통주,삼천리,Samchully,1976-12-23,주권,보통주,5000,4055025,004690.KS,004690
A024950,삼천리자전거,삼천리자전거,024950,생활용품 도매업,자전거,1995-01-04,12월,http://www.samchuly.co.kr,KR7024950008,024950,삼천리자전거,삼천리자전거,"SAMCHULY BICYCLE CO., LTD",1995-01-04,주권,보통주,500,13273577,024950.KQ,024950
A038500,삼표시멘트,삼표시멘트,038500,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비",2001-02-01,12월,http://www.tycement.co.kr,KR7038500005,038500,삼표시멘트,삼표시멘트,"SAMPYO Cement Co., Ltd.",2001-02-01,주권,보통주,500,107916306,038500.KQ,038500
A017480,삼현철강,삼현철강,017480,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외",2001-01-09,12월,http://www.samsteel.co.kr,KR7017480005,017480,삼현철강,삼현철강,"SAMHYUN STEEL Co., Ltd",2001-01-09,주권,보통주,500,15702890,017480.KQ,017480
A010960,삼호개발,삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",2005-05-12,12월,http://www.samhodev.co.kr/,KR7010960003,010960,삼호개발 보통주,삼호개발,"Samho Development Co., Ltd.",2005-05-12,주권,보통주,500,25000000,010960.KS,010960
A046390,삼화네트웍스,삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,http://www.shnetworks.co.kr,KR7046390001,046390,삼화네트웍스,삼화네트웍스,"SAMHWA NETWORKS Co.,Ltd.",2001-01-11,주권,보통주,200,43172933,046390.KQ,046390
A004450,삼화왕관,삼화왕관,004450,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",1976-05-28,12월,http://www.samhwa.co.kr,KR7004450003,004450,삼화왕관보통주,삼화왕관,SamhwaCrown&Closure,1976-05-28,주권,보통주,5000,2154379,004450.KS,004450
A009470,삼화전기,삼화전기,009470,전자부품 제조업,"콘덴서 제조,판매",1986-11-24,12월,http://www.samwha.co.kr,KR7009470006,009470,삼화전기보통주,삼화전기,SamwhaElectric,1986-11-24,주권,보통주,1000,6613820,009470.KS,009470
A027580,상보,상보,027580,플라스틱제품 제조업,"광학필름,윈도우필름,미디어필름",2007-10-01,12월,http://www.sangbogroup.com,KR7027580000,027580,상보,상보,"SANG BO Co.,Ltd",2007-10-01,주권,보통주,500,59181279,027580.KQ,027580
A038540,상상인,상상인,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT 통합 솔루션,2000-08-18,12월,http://www.sangsanginworld.co.kr,KR7038540001,038540,상상인,상상인,"Sangsangin Co., Ltd.",2000-08-18,주권,보통주,1000,55328313,038540.KQ,038540
A101000,상상인인더스트리,상상인인더스트리,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대",2009-11-06,12월,http://sangsangin-industry.co.kr,KR7101000008,101000,상상인인더스트리,상상인인더스트리,"Sangsangin Industry Co., Ltd.",2009-11-06,주권,보통주,500,71750792,101000.KQ,101000
A001290,상상인증권,상상인증권,001290,금융 지원 서비스업,유가증권 매매,1988-09-23,12월,http://www.sangsanginib.com,KR7001290006,001290,상상인증권보통주,상상인증권,SANGSANGININVESTMENT&SECURITIES,1988-09-23,주권,보통주,1000,97505815,001290.KS,001290
A041650,상신브레이크,상신브레이크,041650,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",2004-10-27,12월,http://www.sangsin.com,KR7041650003,041650,상신브레이크보통주,상신브레이크,SANGSINBRAKE,2004-10-27,주권,보통주,500,21471450,041650.KS,041650
A091580,상신이디피,상신이디피,091580,일차전지 및 축전지 제조업,2차전지부품,2007-05-23,12월,http://www.ssedp.co.kr,KR7091580001,091580,상신이디피,상신이디피,"SANGSIN ENERGY DISPLAY PRECISION CO.,LTD",2007-05-23,주권,보통주,500,13544698,091580.KQ,091580
A263810,상신전자,상신전자,263810,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",2017-10-16,12월,http://www.sangshin-e.com,KR7263810004,263810,상신전자,상신전자,"Sangshin Electronics Co.,Ltd.",2017-10-16,주권,보통주,500,14244718,263810.KQ,263810
A089980,상아프론테크,상아프론테크,089980,플라스틱제품 제조업,"LCD부품,사무기기부품,PCB부품,2차전지부품",2011-07-21,12월,http://www.sftc.co.kr,KR7089980007,089980,상아프론테크,상아프론테크,"SANG-A FRONTEC CO., LTD.",2011-07-21,주권,보통주,500,15989037,089980.KQ,089980
A042940,상지카일룸,상지카일룸,042940,건물 건설업,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등",2000-10-19,12월,http://www.sangji.co.kr/,KR7042940007,042940,상지카일룸,상지카일룸,"Sangji Caelum, Inc.",2000-10-19,주권,보통주,500,83058257,042940.KQ,042940
A042600,새로닉스,새로닉스,042600,전자부품 제조업,"광학시트, FFC",2002-10-01,12월,http://www.seronics.co.kr,KR7042600007,042600,새로닉스,새로닉스,"SERONICS. CO., LTD.",2002-10-01,주권,보통주,500,12423574,042600.KQ,042600
A075180,새론오토모티브,새론오토모티브,075180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",2005-10-21,12월,http://www.saeronauto.co.kr,KR7075180000,075180,새론오토모티브,새론오토모티브,SaeronAutomotiveCorporation,2005-10-21,주권,보통주,500,19200000,075180.KS,075180
A252990,샘씨엔에스,샘씨엔에스,252990,전자부품 제조업,세라믹 STF(다층 세라믹 기판),2021-05-20,12월,http://www.semcns.com,KR7252990007,252990,샘씨엔에스,샘씨엔에스,"SEMCNS Co., Ltd.",2021-05-20,주권,보통주,500,50153846,252990.KQ,252990
A263540,샘코,샘코,263540,"항공기,우주선 및 부품 제조업",도어시스템,2017-09-15,12월,http://www.samcokorea.com,KR7263540007,263540,샘코,샘코,Sacheon Aerospace Manufacturing Ind. Co. Ltd,2017-09-15,주권,보통주,500,1495747,263540.KQ,263540
A007540,샘표,샘표,007540,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",1976-06-29,12월,http://www.sempio.com,KR7007540008,007540,샘표보통주,샘표,SEMPIO,1976-06-29,주권,보통주,1000,2875800,007540.KS,007540
A248170,샘표식품,샘표식품,248170,기타 식품 제조업,간장,2016-08-09,12월,http://www.sempio.com,KR7248170003,248170,샘표식품보통주,샘표식품,SEMPIO FOODS,2016-08-09,주권,보통주,500,4568286,248170.KS,248170
A294630,서남,서남,294630,기타 전기장비 제조업,고온초전도선재,2020-02-20,12월,http://www.i-sunam.com,KR7294630009,294630,서남,서남,"SuNAM Co., Ltd.",2020-02-20,주권,보통주,500,21389160,294630.KQ,294630
A079650,서산,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",2005-01-21,12월,http://www.seo-san.co.kr,KR7079650008,079650,서산,서산,Seo San Co. Ltd.,2005-01-21,주권,보통주,100,20000000,079650.KQ,079650
A100660,서암기계공업,서암기계공업,100660,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대",2011-12-19,12월,http://smiltd.co.kr,KR7100660000,100660,서암기계공업,서암기계공업,"SEOAM MACHINERY INDUSTRY CO., LTD.",2011-12-19,주권,보통주,500,12600000,100660.KQ,100660
A007860,서연,서연,007860,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",1989-09-09,12월,http://www.seo-yon.com,KR7007860000,007860,서연보통주,서연,SEOYON,1989-09-09,주권,보통주,500,23479844,007860.KS,007860
A200880,서연이화,서연이화,200880,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,2014-08-08,12월,http://www.seoyoneh.com,KR7200880003,200880,서연이화보통주,서연이화,SEOYONEHWA,2014-08-08,주권,보통주,500,27028437,200880.KS,200880
A019770,서연탑메탈,서연탑메탈,019770,특수 목적용 기계 제조업,자동차금형.건설중장비 부품,2011-06-24,12월,http://www.seoyontop.com,KR7019770007,019770,서연탑메탈,서연탑메탈,"SEOYON TOPMETAL CO., LTD.",2011-06-24,주권,보통주,500,11650000,019770.KQ,019770
A043710,서울리거,서울리거,043710,기타 전문 도매업,의약품 도매 및 화장품 도소매,2002-07-11,12월,http://www.seouleaguer.net,KR7043710003,043710,서울리거,서울리거,"SEOULEAGUER CO., LTD.",2002-07-11,주권,보통주,500,39111384,043710.KQ,043710
A092190,서울바이오시스,서울바이오시스,092190,반도체 제조업,"Visible LED, UV LED",2020-03-06,12월,http://www.seoulviosys.com/kr/,KR7092190008,092190,서울바이오시스,서울바이오시스,"SEOUL VIOSYS CO., LTD.",2020-03-06,주권,보통주,500,38223653,092190.KQ,092190
A046890,서울반도체,서울반도체,046890,반도체 제조업,"Display, Chip LED, Lamp",2002-01-17,12월,http://www.seoulsemicon.com,KR7046890000,046890,서울반도체,서울반도체,"SEOUL SEMICONDUCTOR CO., LTD.",2002-01-17,주권,보통주,500,58305400,046890.KQ,046890
A063170,서울옥션,서울옥션,063170,상품 중개업,미술품경매,2008-07-01,12월,,KR7063170005,063170,서울옥션,서울옥션,Seoul Auction Co. Ltd..,2008-07-01,주권,보통주,500,17774267,063170.KQ,063170
A027040,서울전자통신,서울전자통신,027040,기계장비 및 관련 물품 도매업,"전자변성기, 무역업(트랜스포머자재)",1999-12-03,12월,http://www.seoulset.com,KR7027040005,027040,서울전자통신,서울전자통신,SEOUL ELECTRONICS & TELECOM,1999-12-03,주권,보통주,500,69588847,027040.KQ,027040
A018680,서울제약,서울제약,018680,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등",2000-08-18,12월,http://www.seoulpharma.com,KR7018680009,018680,서울제약,서울제약,"SEOUL PHARMA CO., LTD",2000-08-18,주권,보통주,500,8524523,018680.KQ,018680
A021050,서원,서원,021050,금속 주조업,"비철금속(황동 빌레트,인코트) 제조,재생원료생산",1996-01-30,12월,http://www.swbrass.co.kr,KR7021050000,021050,서원보통주,서원,Seowon,1996-01-30,주권,보통주,500,47474590,021050.KS,021050
A093920,서원인텍,서원인텍,093920,통신 및 방송 장비 제조업,휴대폰용키패드및부자재,2007-12-20,12월,http://seowonintech.co.kr,KR7093920007,093920,서원인텍,서원인텍,"SEOWONINTECH.CO.,LTD",2007-12-20,주권,보통주,500,18600000,093920.KQ,093920
A189860,서전기전,서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반, 전력기기, 전기공사",2014-12-24,12월,http://www.sjem.co.kr,KR7189860000,189860,서전기전,서전기전,"SEOJEON ELECTRIC MACHINERY Co.,Ltd.",2014-12-24,주권,보통주,500,9698780,189860.KQ,189860
A178320,서진시스템,서진시스템,178320,통신 및 방송 장비 제조업,"통신장비부품,휴대폰부품(메탈케이스 등)",2017-03-27,12월,http://seojinsystem.net,KR7178320008,178320,서진시스템,서진시스템,"SEOJIN SYSTEM CO., LTD",2017-03-27,주권,보통주,500,18790321,178320.KQ,178320
A122690,서진오토모티브,서진오토모티브,122690,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",2010-05-25,12월,http://www.secoautomotive.com,KR7122690001,122690,서진오토모티브,서진오토모티브,"Seojin Automotive Co.,Ltd.",2010-05-25,주권,보통주,500,19541246,122690.KQ,122690
A140070,서플러스글로벌,서플러스글로벌,140070,기계장비 및 관련 물품 도매업,"반도체 제조용 장비, 유휴기계설비 도소매",2017-01-25,12월,http://www.surplusglobal.com,KR7140070004,140070,서플러스글로벌,서플러스글로벌,"SurplusGLOBAL,Inc.",2017-01-25,주권,보통주,100,36988000,140070.KQ,140070
A011370,서한,서한,011370,건물 건설업,"건축, 토목",1994-05-24,12월,http://www.seo-han.co.kr,KR7011370004,011370,서한,서한,Seohan,1994-05-24,주권,보통주,500,100894865,011370.KQ,011370
A065710,서호전기,서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","항만크레인,구동전기장치",2002-07-16,12월,http://www.seoho.com,KR7065710006,065710,서호전기,서호전기,"Seoho Electric Co.,Ltd.",2002-07-16,주권,보통주,500,5150000,065710.KQ,065710
A008490,서흥,서흥,008490,기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",1990-03-27,12월,http://www.suheung.com,KR7008490005,008490,서흥보통주,서흥,SUHEUNG,1990-03-27,주권,보통주,500,11569113,008490.KS,008490
A035890,서희건설,서희건설,035890,건물 건설업,"토목, 건축, 부동산임대업",1999-12-24,12월,http://www.seohee.co.kr,KR7035890003,035890,서희건설,서희건설,"SEOHEE CONSTRUCTION CO., LTD.",1999-12-24,주권,보통주,500,229808457,035890.KQ,035890
A357550,석경에이티,석경에이티,357550,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,2020-12-23,12월,http://www.sukgyung.com,KR7357550003,357550,석경에이티,석경에이티,"Sukgyung AT Co., Ltd.",2020-12-23,주권,보통주,500,5455000,357550.KQ,357550
A003100,선광,선광,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",1999-12-21,12월,http://www.sun-kwang.co.kr,KR7003100005,003100,선광,선광,"SUN KWANG Co., Ltd",1999-12-21,주권,보통주,1000,6600000,003100.KQ,003100
A123420,선데이토즈,선데이토즈,123420,소프트웨어 개발 및 공급업,모바일게임,2010-11-10,12월,http://corp.sundaytoz.com,KR7123420002,123420,선데이토즈,선데이토즈,SundayToz Corp,2010-11-10,주권,보통주,500,11469842,123420.KQ,123420
A007610,선도전기,선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",1989-11-30,12월,http://www.seondo.co.kr,KR7007610009,007610,선도전기보통주,선도전기,SeondoElectric,1989-11-30,주권,보통주,500,18000000,007610.KS,007610
A171090,선익시스템,선익시스템,171090,특수 목적용 기계 제조업,OLED 증착장비,2017-09-20,12월,http://www.sunic.co.kr,KR7171090004,171090,선익시스템,선익시스템,"SUNIC SYSTEM Co., Ltd.",2017-09-20,주권,보통주,500,9165602,171090.KQ,171090
A136490,선진,선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16,12월,,KR7136490000,136490,선진보통주,선진,"SUNJIN Co., Ltd",2011-02-16,주권,보통주,500,23779604,136490.KS,136490
A086710,선진뷰티사이언스,선진뷰티사이언스,086710,기타 화학제품 제조업,화장품 원료,2021-01-27,12월,http://sunjinbs.co.kr,KR7086710001,086710,선진뷰티사이언스,선진뷰티사이언스,"SUNJIN BEAUTY SCIENCE CO., LTD.",2021-01-27,주권,보통주,500,6115650,086710.KQ,086710
A014620,성광벤드,성광벤드,014620,1차 철강 제조업,관이음쇠,2001-01-11,12월,http://www.skbend.com,KR7014620009,014620,성광벤드,성광벤드,"SUNG KWANG BEND CO., LTD.",2001-01-11,주권,보통주,500,28600000,014620.KQ,014620
A037350,성도이엔지,성도이엔지,037350,"건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조",2000-01-11,12월,http://www.sungdokorea.com,KR7037350006,037350,성도이엔지,성도이엔지,SUNGDO Engineering & Construction,2000-01-11,주권,보통주,500,15470000,037350.KQ,037350
A014910,성문전자,성문전자,014910,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",1990-03-24,12월,http://www.smec-korea.co.kr,KR7014910004,014910,성문전자보통주,성문전자,SungmoonElectronics,1990-03-24,주권,보통주,500,19486857,014910.KS,014910
A014910,성문전자,성문전자,014915,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",1990-03-24,12월,http://www.smec-korea.co.kr,KR7014911002,014915,성문전자1우선주,성문전자우,SungmoonElectronics(1P),1990-03-24,주권,구형우선주,500,600000,014915.KS,014910
A003080,성보화학,성보화학,003080,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매",1976-12-23,12월,http://www.sbcc.kr,KR7003080009,003080,성보화학보통주,성보화학,SungboChemical,1976-12-23,주권,보통주,500,20020000,003080.KS,003080
A004980,성신양회,성신양회,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",1976-06-30,12월,http://www.sungshincement.co.kr,KR7004980009,004980,성신양회보통주,성신양회,SungshinCement,1976-06-30,주권,보통주,5000,24516073,004980.KS,004980
A004980,성신양회,성신양회,004985,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",1976-06-30,12월,http://www.sungshincement.co.kr,KR7004981007,004985,성신양회1우선주,성신양회우,SungshinCement(1P),1988-12-21,주권,구형우선주,5000,735645,004985.KS,004980
A011300,성안,성안,011300,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,12월,http://www.startex.co.kr,KR7011300001,011300,성안보통주,성안,Seongan,1995-11-10,주권,보통주,500,56857860,011300.KS,011300
A081580,성우전자,성우전자,081580,통신 및 방송 장비 제조업,휴대폰금속프레스부품(전자파차단ShieldCan),2007-10-12,12월,http://www.swei.co.kr,KR7081580003,081580,성우전자,성우전자,"SUNGWOO ELECTRONICS CO., LTD.",2007-10-12,주권,보통주,500,15508143,081580.KQ,081580
A045300,성우테크론,성우테크론,045300,전자부품 제조업,"리드프레임,반도체검사장비",2001-12-18,12월,http://www.swmv.co.kr,KR7045300001,045300,성우테크론,성우테크론,SUNGWOO TECHRON COMPANY,2001-12-18,주권,보통주,500,9586649,045300.KQ,045300
A015750,성우하이텍,성우하이텍,015750,자동차 신품 부품 제조업,자동차범퍼,1995-11-04,12월,http://www.swhitech.co.kr,KR7015750003,015750,성우하이텍,성우하이텍,"SUNGWOO HITECH CO., LTD",1995-11-04,주권,보통주,500,80000000,015750.KQ,015750
A000180,성창기업지주,성창기업지주,000180,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,http://www.sce.kr,KR7000180000,000180,성창기업지주보통주,성창기업지주,SungchangEnterpriseHoldings,1976-06-02,주권,보통주,500,69751600,000180.KS,000180
A080470,성창오토텍,성창오토텍,080470,자동차 신품 부품 제조업,"차량용에어컨필터,차량용공기청정기등",2006-11-03,12월,http://www.sc-autotech.com,KR7080470008,080470,성창오토텍,성창오토텍,"SUNGCHANG AUTOTECH CO.,LTD.",2006-11-03,주권,보통주,500,7300000,080470.KQ,080470
A043260,성호전자,성호전자,043260,전자부품 제조업,"전원공급장치,필름콘덴서",2001-11-29,12월,http://www.sungho.net,KR7043260009,043260,성호전자,성호전자,SUNGHO ELECTRONICS CORP.,2001-11-29,주권,보통주,500,53405384,043260.KQ,043260
A148150,세경하이테크,세경하이테크,148150,전자부품 제조업,DECO Film 및 기타 TAPE 제조,2019-07-30,12월,http://www.sghitech.co.kr/,KR7148150006,148150,세경하이테크,세경하이테크,"Se Gyung Hi Tech Co., Ltd.",2019-07-30,주권,보통주,500,11784281,148150.KQ,148150
A002420,세기상사,세기상사,002420,"영화, 비디오물, 방송프로그램 제작 및 배급업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",1968-12-27,12월,http://daehancinema.com,KR7002420008,002420,세기상사보통주,세기상사,TheCentury,1968-12-27,주권,보통주,500,4276420,002420.KS,002420
A053060,세동,세동,053060,자동차 신품 부품 제조업,"도어벨트, 몰딩",2001-08-17,12월,http://www.saedong.co.kr,KR7053060000,053060,세동,세동,SAE DONG CO.LTD,2001-08-17,주권,보통주,500,17459007,053060.KQ,053060
A004360,세방,세방,004360,도로 화물 운송업,"도로운송,항만하역,창고,지게차 임대",1977-05-19,12월,http://www.sebang.com,KR7004360004,004360,세방보통주,세방,SEBANG,1977-05-19,주권,보통주,500,19308690,004360.KS,004360
A004360,세방,세방,004365,도로 화물 운송업,"도로운송,항만하역,창고,지게차 임대",1977-05-19,12월,http://www.sebang.com,KR7004361002,004365,세방1우선주,세방우,SEBANG(1P),1989-10-21,주권,구형우선주,500,3689250,004365.KS,004360
A004490,세방전지,세방전지,004490,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",1987-11-28,12월,http://www.gbattery.com,KR7004490009,004490,세방전지보통주,세방전지,SEBANG GLOBAL BATTERY,1987-11-28,주권,보통주,500,14000000,004490.KS,004490
A011560,세보엠이씨,세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비,ACESS FLOOR,소음기,CHAMMBER,PFP UNIT,BY-PASS UNIT,DUCT,철구조물",1996-12-23,12월,http://www.sebomec.com,KR7011560000,011560,세보엠이씨,세보엠이씨,SEBO MANUFACTURING ENGINEERING CORP.,1996-12-23,주권,보통주,500,10530000,011560.KQ,011560
